isTestnet,nativeChainId,chainKey,chainName,environment,chainLayer,chainStack,currency,decimals,cgId,cmcId,eid,endpointV2,endpointV2View,executor,lzExecutor,sendUln302,receiveUln302,blockedMessageLib
false,1,ethereum,ethereum,mainnet,1,0,ETH,18,ethereum,1027,30101,0x1a44076050125825900e736c501f859c50fE728c,0x8FAFC84cAeA1Cef8475cb5CB344658D160c9CE0b,0x173272739Bd7Aa6e4e214714048a9fE699453059,0xbF2E102Fb382d6EC52823C8F81A45e9Caa951320,0xbB2Ea70C9E858123480642Cf96acbcCE1372dCe1,0xc02Ab410f0734EFa3F14628780e6e695156024C2,0x1ccbf0db9c192d969de57e25b3ff09a25bb1d862
false,10,optimism,optimism,mainnet,2,1,ETH,18,ethereum,1027,30111,0x1a44076050125825900e736c501f859c50fE728c,0xECEE8B581960634aF89f467AE624Ff468a9Db14B,0x2D2ea0697bdbede3F01553D2Ae4B8d0c486B666e,0xb02763373589c440Ed6ff32f47cf4b81CA285D01,0x1322871e4ab09Bc7f5717189434f97bBD9546e95,0x3c4962Ff6258dcfCafD23a814237B7d6Eb712063,0x1ccbf0db9c192d969de57e25b3ff09a25bb1d862
false,14,flare,flare,mainnet,1,3,FLR,18,,7950,30295,0x1a44076050125825900e736c501f859c50fE728c,0x4514FC667a944752ee8A29F544c1B20b1A315f25,0xcCE466a522984415bC91338c232d98869193D46e,0xa20DB4Ffe74A31D17fc24BD32a7DD7555441058e,0xe1844c5D63a9543023008D332Bd3d2e6f1FE1043,0x2367325334447C5E1E0f1b3a6fB947b262F58312,0x1ccbf0db9c192d969de57e25b3ff09a25bb1d862
false,25,cronosevm,cronosevm,mainnet,1,0,CRO,18,,3635,30359,0x3A73033C0b1407574C76BdBAc67f126f6b4a9AA9,0xC39161c743D0307EB9BCc9FEF03eeb9Dc4802de7,0x4b80F7d25c451D204b1C93D9bdf2aB3B04f3EA4a,0x2BF2f59d2E318Bb03C8956E7BC4c3E6c28Bd0fC2,0x2367325334447C5E1E0f1b3a6fB947b262F58312,0xc1B621b18187F74c8F6D52a6F709Dd2780C09821,0xf540d892bc671f08e0b1c5b61185c53c2211e8f7
false,30,rootstock,rootstock,mainnet,1,0,RBTC,18,rootstock,,30333,0xcb566e3B6934Fa77258d68ea18E931fa75e1aaAa,0x4514FC667a944752ee8A29F544c1B20b1A315f25,0xa20DB4Ffe74A31D17fc24BD32a7DD7555441058e,0x4b80F7d25c451D204b1C93D9bdf2aB3B04f3EA4a,0xe1844c5D63a9543023008D332Bd3d2e6f1FE1043,0x2367325334447C5E1E0f1b3a6fB947b262F58312,0x19a642a780f4cfc27c12c8ac79e586b5007ba8c5
false,37,xpla,xpla,mainnet,1,0,XPLA,18,,22359,30216,0x1a44076050125825900e736c501f859c50fE728c,0x5EB6b3Db915d29fc624b8a0e42AC029e36a1D86B,0x148f693af10ddfaE81cDdb36F4c93B31A90076e1,0x8DD9197E51dC6082853aD71D35912C53339777A7,0xF622DFb40bf7340DBCf1e5147D6CFD95d7c5cF1F,0x6167caAb5c3DA63311186db4D4E2596B20f557ec,0x1ccbf0db9c192d969de57e25b3ff09a25bb1d862
false,40,telos,telos,mainnet,1,0,TLOS,18,telos,4660,30199,0x1a44076050125825900e736c501f859c50fE728c,0xF08f13c080fcc530B1C21DE827C27B7b66874DDc,0x1785c94d31E3E3Ab1079e7ca8a9fbDf33EEf9dd5,0x53490de975969B34E537E541E19F26b15e368895,0x0BcAC336466ef7F1e0b5c184aAB2867C108331aF,0x8F76bAcC52b5730c1f1A2413B8936D4df12aF4f6,0x1ccbf0db9c192d969de57e25b3ff09a25bb1d862
false,50,xdc,xdc,mainnet,1,0,XDC,18,,2634,30365,0xcb566e3B6934Fa77258d68ea18E931fa75e1aaAa,0x4514FC667a944752ee8A29F544c1B20b1A315f25,0xa20DB4Ffe74A31D17fc24BD32a7DD7555441058e,0x4b80F7d25c451D204b1C93D9bdf2aB3B04f3EA4a,0xe1844c5D63a9543023008D332Bd3d2e6f1FE1043,0x2367325334447C5E1E0f1b3a6fB947b262F58312,0x26463a4af811c256f669524ec2dc1ba7e7a83c37
false,56,bsc,bsc,mainnet,1,0,BNB,18,binancecoin,1839,30102,0x1a44076050125825900e736c501f859c50fE728c,0x40B36b785A6872b40Cd6957Ce211E515E1be1081,0x3ebD570ed38B1b3b4BC886999fcF507e9D584859,0x821A99C061C00f6C9da0302AAec348945Ba40284,0x9F8C645f2D0b2159767Bd6E0839DE4BE49e823DE,0xB217266c3A98C8B2709Ee26836C98cf12f6cCEC1,0x1ccbf0db9c192d969de57e25b3ff09a25bb1d862
false,66,okx,okx,mainnet,1,0,OKT,18,,8267,30155,0x1a44076050125825900e736c501f859c50fE728c,0xCd3207826Cf70d48B74140aBDfB4bF5598B2CceD,0x1658766898B42547297A429a51FDea03BC4a863F,0x89D3F96Cf0E2aE22Cc88f8caCA1ee7bB622b5E68,0x7807888fAC5c6f23F6EeFef0E6987DF5449C1BEb,0x51Ae634318E7191C7ffc5778E2D9f860e1e60361,0x1ccbf0db9c192d969de57e25b3ff09a25bb1d862
